onset	duration	trial_type	trial_name	stim_file	stim_file_index
169.600	0.500	31	HORIZONTAL-U-D-1	prf_stim_196.png	196
170.450	0.500	64	DIAGONAL-RD-LU-6	prf_stim_034.png	34
171.300	0.500	59	DIAGONAL-RD-LU-1	prf_stim_029.png	29
172.150	0.500	9	VERTICAL-L-R-7	prf_stim_007.png	7
173.000	0.500	87	DIAGONAL-LU-RD-5	prf_stim_145.png	145
173.850	0.500	67	DIAGONAL-RD-LU-9	prf_stim_037.png	37
174.700	0.500	99	DIAGONAL-RU-LD-5	prf_stim_201.png	201
175.550	0.500	38	HORIZONTAL-U-D-8	prf_stim_189.png	189
176.400	0.500	84	DIAGONAL-LU-RD-2	prf_stim_142.png	142
177.250	0.500	17	VERTICAL-L-R-15	prf_stim_126.png	126
178.100	0.500	42	HORIZONTAL-U-D-12	prf_stim_185.png	185
178.950	0.500	5	VERTICAL-L-R-3	prf_stim_138.png	138
179.800	0.500	46	HORIZONTAL-U-D-16	prf_stim_181.png	181
180.650	0.500	44	HORIZONTAL-U-D-14	prf_stim_070.png	70
181.500	0.500	9	VERTICAL-L-R-7	prf_stim_007.png	7
182.350	0.500	33	HORIZONTAL-U-D-3	prf_stim_194.png	194
183.200	0.500	75	DIAGONAL-LD-RU-5	prf_stim_089.png	89
184.050	0.500	41	HORIZONTAL-U-D-11	prf_stim_067.png	67
184.900	0.500	34	HORIZONTAL-U-D-4	prf_stim_060.png	60
185.750	0.500	91	DIAGONAL-LU-RD-9	prf_stim_149.png	149
186.600	0.500	50	HORIZONTAL-U-D-20	prf_stim_177.png	177
187.450	0.500	55	HORIZONTAL-U-D-25	prf_stim_081.png	81
188.300	0.500	34	HORIZONTAL-U-D-4	prf_stim_193.png	193
189.150	0.500	104	DIAGONAL-RU-LD-10	prf_stim_206.png	206
190.000	0.500	35	HORIZONTAL-U-D-5	prf_stim_192.png	192
